iter	Passed	Remaining
0	138	138170
1	139	69786
2	141	46950
3	142	35531
4	144	28685
5	145	24095
6	146	20801
7	147	18331
8	149	16413
9	150	14880
10	151	13606
11	152	12544
12	153	11644
13	154	10865
14	155	10182
15	155	9583
16	156	9056
17	157	8588
18	158	8168
19	158	7783
20	159	7434
21	160	7116
22	160	6825
23	161	6559
24	161	6313
25	162	6087
26	163	5875
27	163	5675
28	163	5489
29	164	5316
30	164	5154
31	165	5001
32	165	4858
33	166	4723
34	166	4596
35	167	4476
36	167	4362
37	168	4254
38	168	4152
39	168	4054
40	169	3961
41	169	3873
42	170	3789
43	170	3709
44	171	3632
45	171	3558
46	172	3488
47	172	3420
48	172	3356
49	173	3293
50	173	3234
51	174	3176
52	174	3120
53	175	3067
54	175	3016
55	175	2966
56	176	2918
57	176	2872
58	177	2827
59	177	2784
60	178	2742
61	178	2703
62	179	2664
63	179	2626
64	180	2590
65	180	2554
66	180	2519
67	181	2485
68	181	2453
69	182	2421
70	182	2390
71	183	2359
72	183	2330
73	183	2302
74	184	2274
75	184	2247
76	185	2220
77	185	2194
78	186	2169
79	186	2145
80	186	2121
81	187	2098
82	187	2073
83	188	2051
84	188	2029
85	188	2008
86	189	1987
87	189	1967
88	190	1947
89	190	1928
90	191	1909
91	191	1890
92	191	1872
93	192	1854
94	196	1876
95	197	1862
96	198	1846
97	198	1829
98	199	1812
99	199	1796
100	200	1781
101	200	1765
102	200	1750
103	201	1735
104	201	1720
105	202	1706
106	202	1692
107	203	1678
108	203	1664
109	204	1651
110	204	1638
111	204	1625
112	205	1612
113	205	1599
114	206	1587
115	206	1575
116	207	1562
117	207	1552
118	208	1541
119	208	1530
120	209	1520
121	209	1509
122	210	1499
123	210	1489
124	211	1479
125	211	1469
126	212	1459
127	212	1449
128	213	1439
129	213	1430
130	214	1421
131	214	1411
132	215	1402
133	215	1393
134	216	1384
135	216	1375
136	216	1366
137	217	1357
138	217	1349
139	218	1340
140	218	1332
141	219	1323
142	219	1315
143	219	1307
144	220	1299
145	220	1291
146	221	1283
147	221	1276
148	222	1269
149	222	1261
150	223	1254
151	223	1247
152	224	1240
153	224	1233
154	224	1226
155	225	1219
156	225	1212
157	226	1205
158	226	1198
159	227	1192
160	227	1185
161	227	1178
162	228	1172
163	228	1165
164	229	1159
165	229	1153
166	230	1147
167	230	1141
168	230	1135
169	231	1129
170	231	1123
171	232	1117
172	232	1112
173	233	1106
174	233	1100
